정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
1,태깅문,SBL P3,001-01,001-01 정문동 입문 근태리더기,정문동 입문 근태리더기,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
2,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,001-1-1-1,001-1-1-1 정문동 입문 근태리더기,정문동 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
3,입출문기록(24.6. ~ 25. 6.),SBL P3,001-1-1-1,001-01 정문동 입문 근태리더기,정문동 입문 근태리더기,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
4,태깅문,SBL P3,003-05,003-05 P3_생산동_정문 SPEED GATE-5 출문,P3_생산동_정문 SPEED GATE-5 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
5,태깅문,SBL P3,003-05,003-05 P3_생산동_정문 SPEED GATE-5 입문,P3_생산동_정문 SPEED GATE-5 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
6,태깅문,SBL P3,003-06,003-06 P3_생산동_정문 SWING GATE  출문,P3_생산동_정문 SWING GATE  출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
7,태깅문,SBL P3,003-06,003-06 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
8,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-1-1-1,003-01 P3_생산동_정문 SPEED GATE-1 입문,P3_생산동_정문 SPEED GATE-1 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
9,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-1-2-2,003-01 P3_생산동_정문 SPEED GATE-1 출문,P3_생산동_정문 SPEED GATE-1 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
10,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-2-1-1,003-02 P3_생산동_정문 SPEED GATE-2 입문,P3_생산동_정문 SPEED GATE-2 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
11,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-2-2-2,003-02 P3_생산동_정문 SPEED GATE-2 출문,P3_생산동_정문 SPEED GATE-2 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
12,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-3-1-1,003-03 P3_생산동_정문 SPEED GATE-3 입문,P3_생산동_정문 SPEED GATE-3 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
13,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-3-2-2,003-03 P3_생산동_정문 SPEED GATE-3 출문,P3_생산동_정문 SPEED GATE-3 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
14,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-4-1-1,003-04 P3_생산동_정문 SPEED GATE-4 입문,P3_생산동_정문 SPEED GATE-4 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
15,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-4-2-2,003-04 P3_생산동_정문 SPEED GATE-4 출문,P3_생산동_정문 SPEED GATE-4 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
16,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-5-1-1,003-05 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
17,입출문기록(24.6. ~ 25. 6.),SBL P3,003-5-1-1,003-05 P3_생산동_정문 SPEED GATE-5 입문,P3_생산동_정문 SPEED GATE-5 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
18,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-5-2-2,003-05 P3_생산동_정문 SWING GATE 출문,P3_생산동_정문 SWING GATE 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
19,입출문기록(24.6. ~ 25. 6.),SBL P3,003-5-2-2,003-05 P3_생산동_정문 SPEED GATE-5 출문,P3_생산동_정문 SPEED GATE-5 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
20,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-6-1-1,003-06 P4_생산동_정문 SWING GATE 입문,P4_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
21,입출문기록(24.6. ~ 25. 6.),SBL P3,003-6-1-1,003-06 P3_생산동_정문 SWING GATE 입문,P3_생산동_정문 SWING GATE 입문,IN,이동구간,T,출입포인트(IN),2,T2,"식사, 휴게, 출입(IN)"
22,복사본 (공유용) 근무지역 구분 게이트 정보_250710,SBL P3,003-6-2-2,003-06 P4_생산동_정문 SWING GATE 출문,P4_생산동_정문 SWING GATE 출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
23,입출문기록(24.6. ~ 25. 6.),SBL P3,003-6-2-2,003-06 P3_생산동_정문 SWING GATE  출문,P3_생산동_정문 SWING GATE  출문,OUT,이동구간,T,출입포인트(OUT),3,T3,"식사, 휴게, 출입(OUT)"
24,입출문기록(24.6. ~ 25. 6.),SBL P2,005-23-1-1,005-23_P2_생산동 DS 화재 컨트롤러,P2_생산동 DS 화재 컨트롤러,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
25,태깅문,SBL P1,010-01,010-01 RD-1401 1F 세포주보관실,RD-1401 1F 세포주보관실,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
26,태깅문,SBL P1,010-02,010-02 RD-3417 3F 세포주보관실,RD-3417 3F 세포주보관실,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
27,입출문기록(24.6. ~ 25. 6.),SBL 개발동,010-1-1-1,010-01 RD_GMP_1F_RD-1405(Cell Bank Room),RD_GMP_1F_RD-1405(Cell Bank Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
28,입출문기록(24.6. ~ 25. 6.),SBL 개발동,010-1-1-1,010-01 RD-1401 1F 세포주보관실,RD-1401 1F 세포주보관실,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
29,입출문기록(24.6. ~ 25. 6.),SBL P1,011-10-1-1,011-10 Q1-1105(남자락커룸),Q1-1105(남자락커룸),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
30,입출문기록(24.6. ~ 25. 6.),SBL P1,011-1-1-1,011-01 P1_GMP_2F_Q1-2034(Pooling Room),P1_GMP_2F_Q1-2034(Pooling Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
31,입출문기록(24.6. ~ 25. 6.),SBL P1,011-11-1-1,011-11 Q1-1106(여자락커룸),Q1-1106(여자락커룸),IN,근무영역,G,보조업무공간,2,G2,"준비, 식사, 휴게"
32,입출문기록(24.6. ~ 25. 6.),SBL P1,011-13-1-1,011-13 Q1-1004A(통신실 내부)#19,Q1-1004A(통신실 내부)#19,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
33,태깅문,SBL P1,011-14,011-14 P1_GMP_1F_Q1-1003(CCR),P1_GMP_1F_Q1-1003(CCR),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
34,입출문기록(24.6. ~ 25. 6.),SBL P1,011-14-1-1,011-14 P1_GMP_1F_Q1-1003(CCR),P1_GMP_1F_Q1-1003(CCR),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
35,입출문기록(24.6. ~ 25. 6.),SBL P1,011-15-1-1,011-15 P1_GMP_1F_Q1-1002(BMS Server Room),P1_GMP_1F_Q1-1002(BMS Server Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
36,입출문기록(24.6. ~ 25. 6.),SBL P1,011-15-1-1,011-15 Q1-1002 Q1-1002(전산실),Q1-1002 Q1-1002(전산실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
37,입출문기록(24.6. ~ 25. 6.),SBL P1,011-16-1-1,011-16 Q1-1302 (미화대기실),Q1-1302 (미화대기실),IN,비근무영역,N,휴게공간,1,N1,"식사, 휴게"
38,태깅문,SBL P1,011-17,011-17 P1_K-GMP_1F_W1-1100(Ambient Storage),P1_K-GMP_1F_W1-1100(Ambient Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
39,입출문기록(24.6. ~ 25. 6.),SBL P1,011-17-1-1,011-17 P1_K-GMP_1F_W1-1100(Ambient Storage),P1_K-GMP_1F_W1-1100(Ambient Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
40,태깅문,SBL P1,011-18,011-18 Q1-1005(MDF)#18,Q1-1005(MDF)#18,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
41,입출문기록(24.6. ~ 25. 6.),SBL P1,011-18-1-1,011-18 Q1-1005(MDF)#18,Q1-1005(MDF)#18,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
42,입출문기록(24.6. ~ 25. 6.),SBL P1,011-19-1-1,011-19 Q1-1004B(통신실 외부)#13,Q1-1004B(통신실 외부)#13,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
43,태깅문,SBL P1,011-20,011-20 P1_GMP_3F_Q1-3000(Chem. Chromatography Lab),P1_GMP_3F_Q1-3000(Chem. Chromatography Lab),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
44,태깅문,SBL P1,011-26,011-26 P1_GMP_2F_Q1-2119(Chromatography Test Room),P1_GMP_2F_Q1-2119(Chromatography Test Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
45,입출문기록(24.6. ~ 25. 6.),SBL P1,011-26-1-1,011-26 P1_2F_Q1-2119(Chromatography Test Room),P1_2F_Q1-2119(Chromatography Test Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
46,입출문기록(24.6. ~ 25. 6.),SBL P1,011-26-1-1,011-26 P1_GMP_2F_Q1-2119(Chromatography Test Room),P1_GMP_2F_Q1-2119(Chromatography Test Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
47,입출문기록(24.6. ~ 25. 6.),SBL P1,011-28-1-1,011-28 P1_2F_Q1-2113(LN2 Supplier  Room),P1_2F_Q1-2113(LN2 Supplier  Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
48,입출문기록(24.6. ~ 25. 6.),SBL P1,011-28-1-1,011-28 P1_GMP_2F_Q1-2113(LN2 Supplier  Room),P1_GMP_2F_Q1-2113(LN2 Supplier  Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
49,입출문기록(24.6. ~ 25. 6.),SBL P1,011-29-1-1,011-29 P1_2F_Q1-2112(LN2 Tank Room),P1_2F_Q1-2112(LN2 Tank Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
50,입출문기록(24.6. ~ 25. 6.),SBL P1,011-29-1-1,011-29 P1_GMP_2F_Q1-2112(LN2 Tank Room),P1_GMP_2F_Q1-2112(LN2 Tank Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
51,태깅문,SBL P1,011-33,011-33 P1_GMP_3F_Q1-3201(Reagent Storage),P1_GMP_3F_Q1-3201(Reagent Storage),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
52,태깅문,SBL P1,011-34,011-34 Q1-3002A(QC사무실A)#34,Q1-3002A(QC사무실A)#34,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
53,입출문기록(24.6. ~ 25. 6.),SBL P1,011-34-1-1,011-34 Q1-3002A(QC사무실A)#34,Q1-3002A(QC사무실A)#34,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
54,태깅문,SBL P1,011-35,011-35 P1_GMP_3F_Q1-3001(QC Laboratory),P1_GMP_3F_Q1-3001(QC Laboratory),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
55,태깅문,SBL P1,011-36,011-36 P1_GMP_3F_Q1-3001(QC Laboratory),P1_GMP_3F_Q1-3001(QC Laboratory),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
56,태깅문,SBL P1,011-37,011-37 P1_GMP_3F_Q1-3013(LN2 Supply Room),P1_GMP_3F_Q1-3013(LN2 Supply Room),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
57,태깅문,SBL P1,011-42,011-42 P1_GMP_3F_Q1-3030(Waste Room),P1_GMP_3F_Q1-3030(Waste Room),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
58,태깅문,SBL P1,011-44,011-44 P1_GMP_3F_Q1-3106(QC Corridor 2),P1_GMP_3F_Q1-3106(QC Corridor 2),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
59,입출문기록(24.6. ~ 25. 6.),SBL P1,011-44-1-1,011-44 P1_3F_Q1-3106(QC Corridor 2),P1_3F_Q1-3106(QC Corridor 2),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
60,태깅문,SBL P1,011-45,011-45 P1_GMP_3F_Q1-3106(QC Corridor 2),P1_GMP_3F_Q1-3106(QC Corridor 2),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
61,태깅문,SBL P1,011-48,011-48 Q1-4001A QC 사무실,Q1-4001A QC 사무실,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
62,입출문기록(24.6. ~ 25. 6.),SBL P1,011-48-1-1,011-48 Q1-4001A QC사무실,Q1-4001A QC사무실,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
63,입출문기록(24.6. ~ 25. 6.),SBL P1,011-49-1-1,011-49 P1_GMP_4F_Q1-4012(Waste room),P1_GMP_4F_Q1-4012(Waste room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
64,입출문기록(24.6. ~ 25. 6.),SBL P1,011-50-1-1,011-50 P1_GMP_4F_Q1-4020(QC Laboratory (4F)),P1_GMP_4F_Q1-4020(QC Laboratory (4F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
65,태깅문,SBL P1,011-51,011-51 P1_GMP_4F_Q1-4020(QC Laboratory (4F)),P1_GMP_4F_Q1-4020(QC Laboratory (4F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
66,입출문기록(24.6. ~ 25. 6.),SBL P1,011-51-1-1,011-51 P1_GMP_4F_Q1-4020(QC Laboratory (4F)),P1_GMP_4F_Q1-4020(QC Laboratory (4F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
67,태깅문,SBL P1,011-52,011-52 P1_GMP_4F_Q1-4032(EM Storage),P1_GMP_4F_Q1-4032(EM Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
68,입출문기록(24.6. ~ 25. 6.),SBL P1,011-52-1-1,011-52 P1_GMP_4F_Q1-4032(EM Storage),P1_GMP_4F_Q1-4032(EM Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
69,태깅문,SBL P1,011-53,011-53 P1_GMP_2F_Q1-2032(Reference Standard Storag,P1_GMP_2F_Q1-2032(Reference Standard Storag,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
70,입출문기록(24.6. ~ 25. 6.),SBL P1,011-53-1-1,011-53 P1_2F_Q1-2032(Reference Standard Storag,P1_2F_Q1-2032(Reference Standard Storag,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
71,입출문기록(24.6. ~ 25. 6.),SBL P1,011-53-1-1,011-53 P1_GMP_2F_Q1-2032(Reference Standard Storag,P1_GMP_2F_Q1-2032(Reference Standard Storag,IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
72,태깅문,SBL P1,011-54,011-54 P1_GMP_2F_Q1-2025(Sample Storage Room),P1_GMP_2F_Q1-2025(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
73,입출문기록(24.6. ~ 25. 6.),SBL P1,011-54-1-1,011-54 P1_2F_Q1-2025(Sample Storage Room),P1_2F_Q1-2025(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
74,입출문기록(24.6. ~ 25. 6.),SBL P1,011-54-1-1,011-54 P1_GMP_2F_Q1-2025(Sample Storage Room),P1_GMP_2F_Q1-2025(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
75,입출문기록(24.6. ~ 25. 6.),SBL P1,011-55-1-1,011-55 P1_2F_Q1-2020(Aliquot Room),P1_2F_Q1-2020(Aliquot Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
76,입출문기록(24.6. ~ 25. 6.),SBL P1,011-55-1-1,011-55 P1_GMP_2F_Q1-2020(Aliquot Room),P1_GMP_2F_Q1-2020(Aliquot Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
77,입출문기록(24.6. ~ 25. 6.),SBL P1,011-57-1-1,011-57 P1_2F_Q1-2011(PCR Vestibule),P1_2F_Q1-2011(PCR Vestibule),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
78,입출문기록(24.6. ~ 25. 6.),SBL P1,011-57-1-1,011-57 P1_GMP_2F_Q1-2011(PCR Vestibule),P1_GMP_2F_Q1-2011(PCR Vestibule),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
79,입출문기록(24.6. ~ 25. 6.),SBL P1,011-58-1-1,011-58 P1_2F_Q1-2015(Bioassay Supply Room),P1_2F_Q1-2015(Bioassay Supply Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
80,입출문기록(24.6. ~ 25. 6.),SBL P1,011-58-1-1,011-58 P1_K-GMP_2F_Q1-2015(Bioassay Supply Room),P1_K-GMP_2F_Q1-2015(Bioassay Supply Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
81,입출문기록(24.6. ~ 25. 6.),SBL P1,011-59-1-1,011-59 P1_2F_Q1-2027(Stability Sample Room),P1_2F_Q1-2027(Stability Sample Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
82,입출문기록(24.6. ~ 25. 6.),SBL P1,011-59-1-1,011-59 P1_GMP_2F_Q1-2027(Stability Sample Room),P1_GMP_2F_Q1-2027(Stability Sample Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
83,태깅문,SBL P1,011-60,011-60 P1_GMP_2F_Q1-2026(Reserve Sample Room),P1_GMP_2F_Q1-2026(Reserve Sample Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
84,입출문기록(24.6. ~ 25. 6.),SBL P1,011-60-1-1,011-60 P1_GMP_2F_Q1-2026(Reserve Sample Room),P1_GMP_2F_Q1-2026(Reserve Sample Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
85,태깅문,SBL P1,011-61,011-61 P1_GMP_2F_Q1-2000(QC Laboratory (2F)),P1_GMP_2F_Q1-2000(QC Laboratory (2F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
86,입출문기록(24.6. ~ 25. 6.),SBL P1,011-61-1-1,011-61 P1_2F_Q1-2000(QC Laboratory (2F)),P1_2F_Q1-2000(QC Laboratory (2F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
87,입출문기록(24.6. ~ 25. 6.),SBL P1,011-61-1-1,011-61 P1_GMP_2F_Q1-2000(QC Laboratory (2F)),P1_GMP_2F_Q1-2000(QC Laboratory (2F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
88,태깅문,SBL P1,011-62,011-62 QC4층 p1-p2연결통로,QC4층 p1-p2연결통로,IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
89,입출문기록(24.6. ~ 25. 6.),SBL P1,011-62-1-1,011-62 QC4층 p1-p2연결통로,QC4층 p1-p2연결통로,IN,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
90,입출문기록(24.6. ~ 25. 6.),SBL P1,011-63-1-1,011-63 P1_2F_Q1-2030(Storage 1),P1_2F_Q1-2030(Storage 1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
91,입출문기록(24.6. ~ 25. 6.),SBL P1,011-63-1-1,011-63 P1_GMP_2F_Q1-2030(Storage 1),P1_GMP_2F_Q1-2030(Storage 1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
92,입출문기록(24.6. ~ 25. 6.),SBL P1,011-64-1-1,011-64 P1_2F_Q1-2031(Storage 1),P1_2F_Q1-2031(Storage 1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
93,입출문기록(24.6. ~ 25. 6.),SBL P1,011-64-1-1,011-64 P1_GMP_2F_Q1-2031(Storage 1),P1_GMP_2F_Q1-2031(Storage 1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
94,태깅문,SBL P1,011-66,011-66 P1_GMP_2F_Q1-2000(QC Laboratory (2F)),P1_GMP_2F_Q1-2000(QC Laboratory (2F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
95,입출문기록(24.6. ~ 25. 6.),SBL P1,011-66-1-1,011-66 P1_GMP_2F_Q1-2000(QC Laboratory (2F)),P1_GMP_2F_Q1-2000(QC Laboratory (2F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
96,태깅문,SBL P1,011-67,011-67 P1_GMP_3F_Q1-3000(Chem. Chromatography Lab),P1_GMP_3F_Q1-3000(Chem. Chromatography Lab),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
97,태깅문,SBL P1,011-69,011-69 P1_GMP_4F_Q1-4020(QC Laboratory (4F)),P1_GMP_4F_Q1-4020(QC Laboratory (4F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
98,입출문기록(24.6. ~ 25. 6.),SBL P1,011-69-1-1,011-69 P1_GMP_4F_Q1-4020(QC Laboratory (4F)),P1_GMP_4F_Q1-4020(QC Laboratory (4F)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
99,태깅문,SBL P1,011-70,011-70 Q1-1000(QC 사무실),Q1-1000(QC 사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
100,입출문기록(24.6. ~ 25. 6.),SBL P1,011-70-1-1,011-70 Q1-1000(QC 사무실),Q1-1000(QC 사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
101,입출문기록(24.6. ~ 25. 6.),SBL P1,011-71-1-1,011-71 P1_GMP_4F_Q1-4025(Sterility Test Room),P1_GMP_4F_Q1-4025(Sterility Test Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
102,태깅문,SBL P1,011-72,011-72 P1_GMP_4F_Q1-4028(MLT Room),P1_GMP_4F_Q1-4028(MLT Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
103,입출문기록(24.6. ~ 25. 6.),SBL P1,011-72-1-1,011-72 P1_GMP_4F_Q1-4028(MLT Room),P1_GMP_4F_Q1-4028(MLT Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
104,태깅문,SBL P1,011-73,011-73 P1_GMP_2F_Q1-2040(Sample Storage Room),P1_GMP_2F_Q1-2040(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
105,입출문기록(24.6. ~ 25. 6.),SBL P1,011-73-1-1,011-73 P1_2F_Q1-2040(Sample Storage Room),P1_2F_Q1-2040(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
106,입출문기록(24.6. ~ 25. 6.),SBL P1,011-73-1-1,011-73 P1_GMP_2F_Q1-2040(Sample Storage Room),P1_GMP_2F_Q1-2040(Sample Storage Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
107,입출문기록(24.6. ~ 25. 6.),SBL P1,011-75-1-1,011-75 P1_GMP_2F_Q1-2111(RM Aliquot/Pooling Room),P1_GMP_2F_Q1-2111(RM Aliquot/Pooling Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
108,태깅문,SBL P1,011-76,011-76 P1_GMP_2F_Q1-2110(Room Temperature Storage),P1_GMP_2F_Q1-2110(Room Temperature Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
109,입출문기록(24.6. ~ 25. 6.),SBL P1,011-76-1-1,011-76 P1_GMP_2F_Q1-2110(Room Temperature Storage),P1_GMP_2F_Q1-2110(Room Temperature Storage),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
110,입출문기록(24.6. ~ 25. 6.),SBL P1,011-77-1-1,011-77 P1_GMP_2F_Q1-2114(Sample Aliquot Room),P1_GMP_2F_Q1-2114(Sample Aliquot Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
111,입출문기록(24.6. ~ 25. 6.),SBL P1,011-78-1-1,011-78 P1_GMP_4F_Q1-4011(Incubation Room Corridor),P1_GMP_4F_Q1-4011(Incubation Room Corridor),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
112,입출문기록(24.6. ~ 25. 6.),SBL P1,011-80-1-1,011-80 P1 3F Q1-3151 (TPS 앞),P1 3F Q1-3151 (TPS 앞),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
113,입출문기록(24.6. ~ 25. 6.),SBL P1,011-8-1-1,011-08 P1_GMP_4F_Q1-4015(Strain Handling Room),P1_GMP_4F_Q1-4015(Strain Handling Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
114,입출문기록(24.6. ~ 25. 6.),SBL P1,011-81-1-1,011-81 P1 3F Q1-3151 (연구소 내부 기준 좌측 출입문),P1 3F Q1-3151 (연구소 내부 기준 좌측 출입문),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
115,입출문기록(24.6. ~ 25. 6.),SBL P1,011-82-1-1,011-82 P1 3F Q1-3151 (연구소 내부 기준 우측 출입문),P1 3F Q1-3151 (연구소 내부 기준 우측 출입문),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
116,입출문기록(24.6. ~ 25. 6.),SBL P1,011-83-1-1,011-83 P1 3F Q1-3017,P1 3F Q1-3017,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
117,입출문기록(24.6. ~ 25. 6.),SBL P1,011-84-1-1,011-84 P1 3F Q1-3030,P1 3F Q1-3030,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
118,입출문기록(24.6. ~ 25. 6.),SBL P1,011-85-1-1,011-85 P1 3F Q1-3030,P1 3F Q1-3030,-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
