정렬No.,출처파일,위치,기기번호,게이트명,표기명,입출구분,공간구분_NM,공간구분_code,세부유형_NM,세부유형_code,Tag_Code,라벨링_활동
603,입출문기록(24.6. ~ 25. 6.),SBL P2,024-18-1-1,024-18 P2_K-GMP_1F_WH-1301(Dispensing Entrance(M)),P2_K-GMP_1F_WH-1301(Dispensing Entrance(M)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
604,태깅문,SBL P2,024-20-01-01,024-20-01-01 P2_DP동_1층_AD-1945(화장실-남),P2_DP동_1층_AD-1945(화장실-남),-,비근무영역,N,휴게공간,1,N1,"식사, 휴게"
605,태깅문,SBL P2,024-21,024-21-01-01 P2_DP동_1층_AD-1705(사무실),01-01 P2_DP동_1층_AD-1705(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
606,입출문기록(24.6. ~ 25. 6.),SBL P2,024-2-1-1,024-02-01-01 P2_DP동_1층_WH-1711(방재센터),P2_DP동_1층_WH-1711(방재센터),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
607,입출문기록(24.6. ~ 25. 6.),SBL P2,024-21-1-1,024-21-01-01 P2_DP동_1층_AD-1705(사무실),P2_DP동_1층_AD-1705(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
608,태깅문,SBL P2,024-22-01-01,024-22-01-01 P2_DP동_1층_AD-1212(교육장 방송실),P2_DP동_1층_AD-1212(교육장 방송실),-,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
609,입출문기록(24.6. ~ 25. 6.),SBL P2,024-22-1-1,024-22 P2_DP동_1층_AD-1212(Meeting Room 4),P2_DP동_1층_AD-1212(Meeting Room 4),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
610,입출문기록(24.6. ~ 25. 6.),SBL P2,024-24-1-1,024-24 P2_GMP_1F_WH-1919(Material Buffer),P2_GMP_1F_WH-1919(Material Buffer),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
611,입출문기록(24.6. ~ 25. 6.),SBL P2,024-25-1-1,024-25-01-01 P2_DP동_1층_AD-1215(조종실),P2_DP동_1층_AD-1215(조종실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
612,태깅문,SBL P2,024-26-01-01,024-26-01-01 P2_DP동_1층_WH-1772(복도),P2_DP동_1층_WH-1772(복도),-,이동구간,T,건물/구역 연결,1,T1,"식사, 휴게, 내부이동"
613,입출문기록(24.6. ~ 25. 6.),SBL P2,024-27-1-1,024-27-01-01 P2_DP동_1층_AD-1217(준비실),P2_DP동_1층_AD-1217(준비실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
614,입출문기록(24.6. ~ 25. 6.),SBL P2,024-28-1-1,024-28-01-01 P2_DP동_1층_AD-1214(통역실),P2_DP동_1층_AD-1214(통역실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
615,입출문기록(24.6. ~ 25. 6.),SBL P2,024-29-1-1,024-29 P2_DP동_1층_AD-1213(Meeting Room 3),P2_DP동_1층_AD-1213(Meeting Room 3),IN,근무영역,G,협업공간,3,G3,"회의, 식사, 휴게"
616,입출문기록(24.6. ~ 25. 6.),SBL P2,024-30-1-1,024-30-01-01 P2_DP동_1층_WH-1307(창고),P2_DP동_1층_WH-1307(창고),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
617,입출문기록(24.6. ~ 25. 6.),SBL P2,024-3-1-1,024-03 P2_GMP_1F_WH-1603(DP Control Room),P2_GMP_1F_WH-1603(DP Control Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
618,입출문기록(24.6. ~ 25. 6.),SBL P2,024-31-1-1,024-31-01-01 P2_DP동_1층_WH-1718(방송실),P2_DP동_1층_WH-1718(방송실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
619,태깅문,SBL P2,024-32,024-32 P2_K-GMP_1F_WH-1714(IT Control Room),P2_K-GMP_1F_WH-1714(IT Control Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
620,입출문기록(24.6. ~ 25. 6.),SBL P2,024-32-1-1,024-32 P2_K-GMP_1F_WH-1714(IT Control Room),P2_K-GMP_1F_WH-1714(IT Control Room),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
621,입출문기록(24.6. ~ 25. 6.),SBL P2,024-33-1-1,024-33-01-01 P2_DP동_1층_WH-1731(측정실),P2_DP동_1층_WH-1731(측정실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
622,입출문기록(24.6. ~ 25. 6.),SBL P2,024-34-1-1,024-34-01-01 P2_DP동_1층_WH-1712(소화가스실),P2_DP동_1층_WH-1712(소화가스실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
623,입출문기록(24.6. ~ 25. 6.),SBL P2,024-35-1-1,024-35-01-01 P2_DP동_1층_WH-1717(MES상황실),P2_DP동_1층_WH-1717(MES상황실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
624,입출문기록(24.6. ~ 25. 6.),SBL P2,024-35-1-1,024-35-01-01 P2_DP동_1층_WH-1717(Automation),P2_DP동_1층_WH-1717(Automation),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
625,태깅문,SBL P2,024-36-01-01,024-36-01-01 P2_DP동_1층_WH-1705(사무실),P2_DP동_1층_WH-1705(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
626,입출문기록(24.6. ~ 25. 6.),SBL P2,024-36-1-1,024-36-01-01 P2_DP동_1층_WH-1705(사무실),P2_DP동_1층_WH-1705(사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
627,태깅문,SBL P2,024-37-01-01,024-37-01-01 P2_DP동_1층_WH-1732(측정사무실),P2_DP동_1층_WH-1732(측정사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
628,입출문기록(24.6. ~ 25. 6.),SBL P2,024-37-1-1,024-37-01-01 P2_DP동_1층_WH-1732(측정사무실),P2_DP동_1층_WH-1732(측정사무실),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
629,입출문기록(24.6. ~ 25. 6.),SBL P2,024-38-1-1,024-38 P2_DP동_1층_WH-1737(Lab 장비 유지보수실1),P2_DP동_1층_WH-1737(Lab 장비 유지보수실1),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
630,입출문기록(24.6. ~ 25. 6.),SBL P2,024-40-1-1,024-40 P2_K-GMP_1F_WH-1304(Dispensing Entrance(W)),P2_K-GMP_1F_WH-1304(Dispensing Entrance(W)),IN,근무영역,G,주업무공간,1,G1,"업무, 식사, 휴게"
