center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,6.973264166001596,9.375,20.883333333333333,13.228252194732642,1,0.34664305666400635,0.88,very_extended
CDO개발센터,-,CDO개발센터,3,17.627118644067796,31.666666666666668,14.75,10.734463276836157,0,0.36550847457627117,0.8931016949152543,extended
CDO개발센터,-,CDO지원그룹,10,20.081511670989254,13.6,13.495,14.63505001852538,1,0.350226046683957,0.8900452093367914,extended
CDO개발센터,-,CMC Support팀,61,16.100729261622607,4.245901639344262,14.386885245901638,13.690747493163173,1,0.5247635727841953,0.92,standard
CDO개발센터,-,항체배양PD팀,40,15.592410196987252,6.1,17.259999999999998,14.65816917728853,1,0.47936964078794897,0.9158739281575898,extended
CDO개발센터,-,항체정제PD팀,40,14.8680663344498,5.175,15.30125,13.356751899354627,1,0.5042222653377992,0.92,standard
EPCV센터,-,EPCV센터,3,79.32038834951456,36.666666666666664,17.166666666666664,33.88349514563107,4,0.6172815533980582,0.92,standard
EPCV센터,-,EPM팀,60,88.12046074848499,9.116666666666667,18.014166666666668,18.305037701808764,2,0.6789818429939399,0.925796368598788,minimal
EPCV센터,-,안전환경팀,63,65.31660217697899,16.444444444444443,21.946825396825396,18.797237189455032,2,0.561266408707916,0.92,standard
EPCV센터,E&F담당,Corporate Engineering팀,37,81.54529307282415,6.675675675675675,15.216216216216216,36.44760213143872,4,0.7259109020210264,0.9351821804042053,minimal
EPCV센터,E&F담당,E&F담당,3,88.84976525821597,30.0,14.2,19.014084507042252,4,0.6393990610328639,0.92,standard
EPCV센터,E&F담당,Facility Operation팀,211,80.11887736860922,5.966824644549763,26.51184834123223,19.259921344297464,2,0.741470770137944,0.9382941540275889,minimal
EPCV센터,E&F담당,Facility Technology팀,101,74.25026297147028,7.663366336633663,23.06089108910891,25.906446557757125,2,0.6671000617868712,0.9234200123573743,minimal
People센터,-,HR Strategy그룹,5,12.840702604482132,19.6,16.509999999999998,22.04724409448819,1,0.3513628104179285,0.8902725620835857,extended
People센터,-,Learning·Development팀,12,21.73830713879947,16.0,22.004166666666666,9.600454459382693,1,0.38695322855519787,0.8973906457110397,extended
People센터,-,People센터,5,63.144461459928536,21.0,19.59,7.3506891271056665,1,0.5525778458397141,0.92,standard
People센터,-,Talent Acquisition팀,16,18.0881511161992,12.9375,21.8375,14.453348597595877,1,0.3723526044647968,0.8944705208929594,extended
People센터,-,정보보호팀,8,36.0082304526749,42.625,15.1875,12.222222222222221,0,0.4440329218106996,0.90880658436214,extended
People센터,인사지원담당,People Experience팀,13,19.831398562741846,19.615384615384617,27.83076923076923,10.544499723604202,1,0.37932559425096735,0.8958651188501935,extended
People센터,인사지원담당,Talent Management팀,19,18.73767258382643,8.263157894736842,16.010526315789473,14.809335963182116,1,0.4270559534932004,0.9054111906986402,extended
People센터,인사지원담당,인사지원담당,1,8.524590163934425,52.0,15.25,1.639344262295082,0,0.33409836065573767,0.88,very_extended
People센터,인사지원담당,인프라복지팀,18,30.518365945760383,12.722222222222221,24.275,8.685204256779953,1,0.42207346378304156,0.9044146927566084,extended
경영지원센터,-,IR팀,6,17.86703601108033,14.333333333333334,12.033333333333333,19.321329639889196,1,0.312134810710988,0.88,very_extended
경영지원센터,-,경영지원센터,1,0.25773195876288657,17.0,19.4,0.0,1,0.30103092783505153,0.88,very_extended
경영지원센터,-,사업전략팀,34,18.039653728008936,5.882352941176471,15.798529411764708,13.850879642557945,1,0.4956880266767416,0.9191376053353484,extended
경영지원센터,-,재경팀,46,17.422779922779924,4.304347826086956,15.765217391304347,15.43712079426365,1,0.540560684908511,0.92,standard
경영지원센터,-,준법경영팀,16,21.27514490282987,11.6875,18.33125,10.808046368905558,1,0.3851005796113195,0.8970201159222639,extended
경영지원센터,-,지속가능경영팀,18,21.05689739017669,8.944444444444445,17.136111111111113,14.832225644350785,1,0.4158942562273734,0.9031788512454747,extended
경영지원센터,Operational Excellence담당,CSV그룹,10,28.867924528301884,12.9,15.9,9.339622641509433,1,0.41547169811320755,0.9030943396226415,extended
경영지원센터,Operational Excellence담당,IT팀,50,32.46113521330441,5.32,22.128,14.212762111352134,1,0.5702445408532176,0.92,standard
경영지원센터,Operational Excellence담당,MES팀,91,60.30509036644006,5.989010989010989,19.88241758241758,12.029514176753441,2,0.6615500317954306,0.9223100063590861,minimal
경영지원센터,Operational Excellence담당,OES혁신그룹,11,29.6166432912576,14.454545454545455,19.445454545454545,10.238429172510518,1,0.4184665731650304,0.9036933146330062,extended
경영지원센터,Operational Excellence담당,Operational Excellence담당,1,11.27450980392157,50.0,20.4,0.49019607843137253,0,0.34509803921568627,0.88,very_extended
경영진단팀,-,경영진단팀,15,18.432948267202413,10.6,19.91,12.991796417210782,1,0.37373179306880966,0.894746358613762,extended
대표이사,-,대표이사,1,37.096774193548384,48.0,6.2,5.64516129032258,0,0.27238709677419354,0.88,very_extended
바이오연구소,-,AI Lab,9,27.97494780793319,15.777777777777779,13.305555555555554,10.020876826722338,1,0.37801090234284385,0.8956021804685688,extended
바이오연구소,-,Bio R&D지원그룹,6,19.979042961928048,27.5,23.858333333333334,10.129235068110374,1,0.3799161718477122,0.8959832343695425,extended
바이오연구소,-,GT기술Lab,11,19.11500449236298,12.636363636363637,20.236363636363638,6.918238993710692,1,0.37646001796945194,0.8952920035938904,extended
바이오연구소,-,Open Innovation그룹,7,22.483766233766232,15.714285714285714,17.6,4.301948051948052,1,0.3899350649350649,0.897987012987013,extended
바이오연구소,-,바이오연구소,1,100.0,12.0,1.85,32.432432432432435,4,0.437,0.9074,extended
바이오연구소,-,선행공정개발Lab,27,46.24104542234118,8.962962962962964,23.524074074074072,10.973785719908683,1,0.5160752928004758,0.92,standard
바이오연구소,-,펩타이드 T/F,3,16.194331983805668,21.666666666666668,16.466666666666665,19.230769230769234,1,0.36477732793522266,0.8929554655870445,extended
바이오연구소,-,항체기술Lab,49,19.667178445842207,5.040816326530612,20.603061224489796,7.359714724382151,1,0.5274442239874504,0.92,standard
상생협력센터,-,구매팀,240,75.03249138272024,2.995833333333333,22.12125,10.74758433632819,2,0.8102549655308809,0.9680764896592643,very_minimal
상생협력센터,-,대외협력팀,4,87.72965879265092,29.0,19.05,11.089238845144358,2,0.6509186351706038,0.9201837270341208,minimal
상생협력센터,-,상생협력센터,1,76.5,52.0,10.0,2.0,0,0.506,0.92,standard
상생협력센터,-,커뮤니케이션팀,12,85.995085995086,12.666666666666666,11.870833333333334,18.708318708318707,2,0.5813970106470107,0.92,standard
영업센터,-,영업센터,2,16.0,35.5,18.75,11.866666666666667,0,0.364,0.8928,extended
영업센터,NJ Sales Office,CDO Sales팀,1,6.153846153846154,20.0,3.25,3.076923076923077,3,0.08961538461538462,0.88,very_extended
영업센터,NJ Sales Office,CMO Sales팀,1,0.0,3.0,3.9,0.0,3,0.288,0.88,very_extended
영업센터,NJ Sales Office,SBA Support그룹,1,0.0,4.0,5.5,0.0,3,0.29,0.88,very_extended
영업센터,Sales&Operation담당,CDO SE팀,11,28.190360715368296,15.090909090909092,14.995454545454546,14.216429220976053,1,0.41267053377056406,0.9025341067541128,extended
영업센터,Sales&Operation담당,CMO SE팀,16,19.479495268138802,10.4375,15.85,15.161671924290221,1,0.3779179810725552,0.8955835962145111,extended
영업센터,Sales&Operation담당,Market Intelligence팀,10,21.460423634336678,12.5,17.94,17.112597547380158,1,0.38584169453734674,0.8971683389074694,extended
영업센터,Sales&Operation담당,Sales&Operation담당,1,8.60215053763441,29.0,4.65,0.0,3,0.12740860215053765,0.88,very_extended
영업센터,Sales&Operation담당,Sales&Operation팀,18,20.023557126030624,8.944444444444445,16.508333333333333,12.939592798250041,1,0.4117608951707892,0.9023521790341579,extended
영업센터,영업지원담당,Global PA팀,3,21.35678391959799,27.0,13.266666666666666,19.22110552763819,1,0.3507604690117253,0.8901520938023451,extended
영업센터,영업지원담당,PM팀,68,21.337139699788192,3.6176470588235294,15.969117647058823,13.988396721613409,1,0.5768191470344468,0.92,standard
영업센터,영업지원담당,마케팅팀,24,19.350879585435703,7.125,15.277083333333334,13.636983499249967,1,0.4636535183417428,0.9127307036683486,extended
영업센터,영업지원담당,영업지원담당,1,7.746478873239436,19.0,7.1,5.633802816901409,3,0.17298591549295772,0.88,very_extended
오퍼레이션센터,-,Validation팀,45,92.29189701468962,6.266666666666667,14.068888888888889,15.179276575580477,2,0.7625453658365363,0.9425090731673073,minimal
오퍼레이션센터,-,오퍼레이션센터,4,79.92744860943168,30.0,10.3375,23.09552599758162,4,0.5264597944377267,0.92,standard
오퍼레이션센터,DP담당,DP Compliance팀,26,17.956382154323038,6.961538461538462,17.371153846153845,11.247647514668438,1,0.46297937477113826,0.9125958749542277,extended
오퍼레이션센터,DP담당,DP담당,1,18.275862068965516,46.0,14.5,7.931034482758621,0,0.36310344827586205,0.8926206896551725,extended
오퍼레이션센터,DP담당,무균충전팀,165,9.629393156688046,2.1333333333333333,20.883030303030303,34.59093943175552,1,0.5745175726267522,0.92,standard
오퍼레이션센터,DP담당,이물검사·패키징팀,166,12.726643465554039,1.6987951807228916,15.665361445783134,21.590493952969677,1,0.5999427184405294,0.92,standard
오퍼레이션센터,DS담당,ADC/mRNA운영팀,16,77.00468448608432,12.9375,22.68125,14.962799669330392,2,0.6080187379443374,0.92,standard
오퍼레이션센터,DS담당,DS Compliance그룹,29,89.3410264196781,6.413793103448276,11.355172413793102,23.70179167931977,2,0.6920537608511262,0.9284107521702253,minimal
오퍼레이션센터,DS담당,DS System Readiness그룹,23,82.88259109311741,11.0,13.42391304347826,19.59514170040486,2,0.6000086252420349,0.92,standard
오퍼레이션센터,DS담당,DS담당,1,82.17054263565892,45.0,12.9,28.68217054263566,4,0.5866821705426357,0.92,standard
오퍼레이션센터,DS담당,Plant 1팀,177,7.630496271535099,1.5932203389830508,17.577401129943503,13.615325276420673,1,0.5827253749166489,0.92,standard
