center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,6.973264166001596,9.375,20.883333333333333,13.228252194732642,3,0.34664305666400635,0.88,extended
CDO개발센터,-,CMC Support팀,61,16.100729261622607,4.245901639344262,14.386885245901638,13.690747493163173,0,0.5247635727841953,0.92,standard
CDO개발센터,-,항체배양PD팀,40,15.592410196987252,6.1,17.259999999999998,14.65816917728853,0,0.47936964078794897,0.92,standard
CDO개발센터,-,항체정제PD팀,40,14.8680663344498,5.175,15.30125,13.356751899354627,0,0.5042222653377992,0.92,standard
EPCV센터,-,EPM팀,60,88.12046074848499,9.116666666666667,18.014166666666668,18.305037701808764,3,0.6789818429939399,0.92,standard
EPCV센터,-,안전환경팀,63,65.31660217697899,16.444444444444443,21.946825396825396,18.797237189455032,3,0.561266408707916,0.92,standard
EPCV센터,E&F담당,Corporate Engineering팀,37,81.54529307282415,6.675675675675675,15.216216216216216,36.44760213143872,1,0.7259109020210264,0.92,standard
EPCV센터,E&F담당,Facility Operation팀,211,80.11887736860922,5.966824644549763,26.51184834123223,19.259921344297464,3,0.741470770137944,0.92,standard
EPCV센터,E&F담당,Facility Technology팀,101,74.25026297147028,7.663366336633663,23.06089108910891,25.906446557757125,3,0.6671000617868712,0.92,standard
경영지원센터,-,사업전략팀,34,18.039653728008936,5.882352941176471,15.798529411764708,13.850879642557945,0,0.4956880266767416,0.92,standard
경영지원센터,-,재경팀,46,17.422779922779924,4.304347826086956,15.765217391304347,15.43712079426365,0,0.540560684908511,0.92,standard
경영지원센터,Operational Excellence담당,IT팀,50,32.46113521330441,5.32,22.128,14.212762111352134,3,0.5702445408532176,0.92,standard
경영지원센터,Operational Excellence담당,MES팀,91,60.30509036644006,5.989010989010989,19.88241758241758,12.029514176753441,3,0.6615500317954306,0.92,standard
바이오연구소,-,선행공정개발Lab,27,46.24104542234118,8.962962962962964,23.524074074074072,10.973785719908683,3,0.5160752928004758,0.92,standard
바이오연구소,-,항체기술Lab,49,19.667178445842207,5.040816326530612,20.603061224489796,7.359714724382151,0,0.5274442239874504,0.92,standard
상생협력센터,-,구매팀,240,75.03249138272024,2.995833333333333,22.12125,10.74758433632819,2,0.8102549655308809,0.9600637413827202,minimal
영업센터,영업지원담당,PM팀,68,21.337139699788192,3.6176470588235294,15.969117647058823,13.988396721613409,0,0.5768191470344468,0.92,standard
영업센터,영업지원담당,마케팅팀,24,19.350879585435703,7.125,15.277083333333334,13.636983499249967,0,0.4636535183417428,0.92,standard
오퍼레이션센터,-,Validation팀,45,92.29189701468962,6.266666666666667,14.068888888888889,15.179276575580477,1,0.7625453658365363,0.9481363414591342,minimal
오퍼레이션센터,DP담당,DP Compliance팀,26,17.956382154323038,6.961538461538462,17.371153846153845,11.247647514668438,0,0.46297937477113826,0.92,standard
