center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,13.397845171588187,9.375,20.883333333333333,13.228252194732642,3,0.37234138068635275,0.8944682761372706,extended
CDO개발센터,-,CDO개발센터,3,45.98870056497175,31.666666666666668,14.75,10.734463276836157,3,0.478954802259887,0.9157909604519774,extended
CDO개발센터,-,CDO지원그룹,10,42.460170433493886,13.6,13.495,14.63505001852538,3,0.4397406817339755,0.9079481363467952,extended
CDO개발센터,-,CMC Support팀,61,38.99840474020055,4.245901639344262,14.386885245901638,13.690747493163173,3,0.6163542746985071,0.92,standard
CDO개발센터,-,항체배양PD팀,40,33.63991888760139,6.1,17.259999999999998,14.65816917728853,3,0.5515596755504055,0.92,standard
CDO개발센터,-,항체정제PD팀,40,32.587206927538595,5.175,15.30125,13.356751899354627,3,0.5750988277101544,0.92,standard
EPCV센터,-,EPCV센터,3,90.19417475728156,36.666666666666664,17.166666666666664,33.88349514563107,0,0.6607766990291262,0.9221553398058253,minimal
EPCV센터,-,EPM팀,60,91.7842438821298,9.116666666666667,18.014166666666668,18.305037701808764,2,0.6936369755285192,0.9287273951057039,minimal
EPCV센터,-,안전환경팀,63,90.39163924348172,16.444444444444443,21.946825396825396,18.797237189455032,1,0.6615665569739269,0.9223133113947855,minimal
EPCV센터,E&F담당,Corporate Engineering팀,37,85.02664298401422,6.675675675675675,15.216216216216216,36.44760213143872,0,0.7398363016657865,0.9379672603331574,minimal
EPCV센터,E&F담당,E&F담당,3,97.88732394366197,30.0,14.2,19.014084507042252,0,0.6755492957746478,0.9251098591549296,minimal
EPCV센터,E&F담당,Facility Operation팀,211,90.08848766535574,5.966824644549763,26.51184834123223,19.259921344297464,1,0.7813492113249301,0.946269842264986,minimal
EPCV센터,E&F담당,Facility Technology팀,101,88.60313848399632,7.663366336633663,23.06089108910891,25.906446557757125,1,0.7245115638369753,0.9349023127673951,minimal
People센터,-,HR Strategy그룹,5,81.9503331314355,19.6,16.509999999999998,22.04724409448819,2,0.6278013325257421,0.92,standard
People센터,-,Learning·Development팀,12,92.70971406930506,16.0,22.004166666666666,9.600454459382693,1,0.6708388562772203,0.9241677712554441,minimal
People센터,-,People센터,5,94.94640122511485,21.0,19.59,7.3506891271056665,1,0.6797856049004594,0.9259571209800919,minimal
People센터,-,Talent Acquisition팀,16,90.2261018889525,12.9375,21.8375,14.453348597595877,1,0.66090440755581,0.9221808815111621,minimal
People센터,-,정보보호팀,8,91.440329218107,42.625,15.1875,12.222222222222221,4,0.665761316872428,0.9231522633744856,minimal
People센터,인사지원담당,People Experience팀,13,94.5411829740188,19.615384615384617,27.83076923076923,10.544499723604202,1,0.6781647318960753,0.9256329463792151,minimal
People센터,인사지원담당,Talent Management팀,19,92.1104536489152,8.263157894736842,16.010526315789473,14.809335963182116,2,0.7205470777535555,0.9341094155507111,minimal
People센터,인사지원담당,인사지원담당,1,99.34426229508196,52.0,15.25,1.639344262295082,4,0.697377049180328,0.9294754098360656,minimal
People센터,인사지원담당,인프라복지팀,18,93.61483007209063,12.722222222222221,24.275,8.685204256779953,1,0.6744593202883625,0.9248918640576725,minimal
경영지원센터,-,IR팀,6,87.3961218836565,14.333333333333334,12.033333333333333,19.321329639889196,2,0.5902511542012927,0.92,standard
경영지원센터,-,경영지원센터,1,100.0,17.0,19.4,0.0,1,0.7,0.93,minimal
경영지원센터,-,사업전략팀,34,82.79810108908127,5.882352941176471,15.798529411764708,13.850879642557945,2,0.754721816121031,0.9409443632242063,minimal
경영지원센터,-,재경팀,46,90.1130722559294,4.304347826086956,15.765217391304347,15.43712079426365,2,0.8313218542411089,0.9743965562723327,very_minimal
