center,bu,team,employee_count,total_tags,unique_tags,g1_count,g2_count,g3_count,g4_count,n1_count,n2_count,t1_count,t2_count,t3_count,m1_count,m2_count,knox_total_count,knox_approval_count,knox_pims_count,knox_mail_count,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
CDO개발센터,-,ADC개발팀,24,10024,226,7863,1410,1,162,0,117,471,0,0,0,0,1803,1057,176,570,2518,65,0,0,1030,1423,9.4,417.7,9.4,0,0.729,0.9358000000000001,minimal
CDO개발센터,-,CDO개발센터,3,885,96,647,0,0,26,0,78,134,0,0,0,0,429,264,49,116,0,0,0,0,0,0,32.0,295.0,31.7,4,0.9,0.995,very_minimal
CDO개발센터,-,CDO지원그룹,10,2699,137,2119,0,0,100,8,35,437,0,0,0,0,795,294,118,383,89,0,0,0,12,77,13.7,269.9,13.6,1,0.8055,0.96665,very_minimal
CDO개발센터,-,CMC Support팀,61,17552,260,12814,2,111,572,22,157,3874,0,0,0,0,3119,1676,334,1109,4995,228,0,0,3241,1526,4.3,287.7,4.2,0,0.5485,0.92,standard
CDO개발센터,-,항체배양PD팀,40,13808,245,9646,0,54,366,42,104,3596,0,0,0,0,2611,1430,369,812,2481,125,0,0,1787,569,6.1,345.2,6.1,0,0.6134999999999999,0.92,standard
CDO개발센터,-,항체정제PD팀,40,12241,208,9430,0,44,344,18,106,2299,0,0,0,0,1553,766,204,583,3492,206,0,0,1806,1480,5.2,306.0,5.2,0,0.582,0.92,standard
EPCV센터,E&F담당,Corporate Engineering팀,37,11260,249,6333,7,5,93,23,345,4454,0,0,0,0,2160,781,383,996,1278,20,0,12,1246,0,6.7,304.3,6.7,1,0.6345,0.92,standard
EPCV센터,E&F담당,E&F담당,3,852,90,402,0,1,8,0,55,386,0,0,0,0,322,164,25,133,37,2,0,0,35,0,30.0,284.0,30.0,4,0.9,0.995,very_minimal
EPCV센터,-,EPCV센터,3,1030,111,641,0,1,8,0,35,345,0,0,0,0,321,172,20,129,4,0,0,0,4,0,37.0,343.3,36.7,4,0.9,0.995,very_minimal
EPCV센터,-,EPM팀,60,21617,548,13234,102,39,51,0,281,7910,0,0,0,0,5030,2485,578,1967,1794,644,0,0,929,221,9.1,360.3,9.1,1,0.7185,0.9337000000000001,minimal
EPCV센터,E&F담당,Facility Operation팀,211,111880,1265,88024,1413,27,378,31,886,21121,0,0,0,0,10960,6823,742,3395,32533,18051,0,0,8595,5887,6.0,530.2,6.0,2,0.61,0.92,standard
EPCV센터,E&F담당,Facility Technology팀,101,46583,776,32474,399,51,299,20,493,12847,0,0,0,0,6285,3260,409,2616,59356,48590,0,353,3990,6423,7.7,461.2,7.7,0,0.6695,0.9239,minimal
EPCV센터,-,안전환경팀,63,27653,1039,19574,40,19,221,30,189,7580,0,0,0,0,6414,3610,749,2055,2610,1399,0,0,1036,175,16.5,438.9,16.4,0,0.8475,0.9792500000000001,very_minimal
