center,bu,team,employee_count,total_tags,unique_tags,g1_count,g2_count,g3_count,g4_count,n1_count,n2_count,t1_count,t2_count,t3_count,m1_count,m2_count,knox_total_count,knox_approval_count,knox_pims_count,knox_mail_count,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
오퍼레이션센터,DS담당,DS System Readiness그룹,23,6175,253,3055,6,59,8,2,91,2954,0,0,0,0,0,0,0,0,1169,421,0,0,648,100,11.0,268.5,11.0,4,0.765,0.9430000000000001,minimal
오퍼레이션센터,DS담당,DS담당,1,258,45,227,2,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,258.0,45.0,4,0.9,0.995,very_minimal
오퍼레이션센터,MSAT담당,MSAT 1팀,90,25035,245,13493,67,35,274,14,513,10639,0,0,0,0,0,0,0,0,8416,184,0,0,2153,6079,2.7,278.2,2.7,3,0.49449999999999994,0.9189,extended
오퍼레이션센터,MSAT담당,MSAT 2팀,108,28170,340,20410,27,601,279,89,421,6343,0,0,0,0,0,0,0,0,7040,47,0,518,2698,3777,3.1,260.8,3.1,3,0.5085,0.92,standard
오퍼레이션센터,MSAT담당,MSAT PD팀,59,25104,297,16947,6,21,291,34,246,7559,0,0,0,0,1,0,1,0,3032,223,0,0,1590,1219,5.0,425.5,5.0,3,0.575,0.92,standard
오퍼레이션센터,MSAT담당,MSAT PMO T/F,12,3145,168,1786,0,74,10,15,81,1179,0,0,0,0,0,0,0,0,485,0,0,0,311,174,14.0,262.1,14.0,4,0.8099999999999999,0.968,very_minimal
오퍼레이션센터,MSAT담당,MSAT Technical Excellence팀,29,10429,261,6643,22,97,132,8,196,3331,0,0,0,0,0,0,0,0,4822,35,0,11,826,3950,9.0,359.6,9.0,3,0.715,0.933,minimal
오퍼레이션센터,MSAT담당,MSAT담당,1,286,56,200,0,2,0,0,30,54,0,0,0,0,0,0,0,0,8,0,0,0,8,0,56.0,286.0,56.0,4,0.9,0.995,very_minimal
오퍼레이션센터,DS담당,Plant 1팀,177,62224,283,38854,4904,13,126,26,748,17553,0,0,0,0,0,0,0,0,5438,1573,0,0,3790,75,1.6,351.5,1.6,1,0.45599999999999996,0.9112,extended
오퍼레이션센터,DS담당,Plant 2팀,400,141458,460,96906,7201,59,314,846,1271,34861,0,0,0,0,0,0,0,0,14307,4146,0,0,9956,205,1.1,353.6,1.1,1,0.4385,0.9077000000000001,extended
오퍼레이션센터,DS담당,Plant 3팀,430,130862,387,96372,377,43,257,338,1830,31645,0,0,0,0,0,0,0,0,12169,2655,0,0,9384,130,0.9,304.3,0.9,1,0.4315,0.9063,extended
