location_code,location_name,usage_count,tag_code
516-48-1-1,516-48 P5_MS동_3층_MS-3397(CCR),2218,G1
035-16-1-1,035-16 P3_유틸리티동_1층_UT-1018(전실-4),2212,G1
700-82-2-2,700-82_P3 UT 정문 S/G #2-출문,2199,T2
701-13-2-2,701-13_P4-BP2 브릿지 S/G #1 출문,2177,T1
32-4-1-1,032-04 P3_생산동_3층_DS-3311(USP 사무실-1),2160,G1
700-44-1-1,700-44_P2 도크장 방향 S/G #2 입문,2127,T2
700-3-2-2,700-03_P2-BP1 브릿지 S/G #3 출문,2113,T1
515-63-1-1,515-63 P5_DS동_3층_DS-3352(탕비실-B),2107,G1
700-48-1-1,700-48_P3 바이오프라자 방향 S/G #3 입문,2102,T2
012-34-1-1,012-34 P1_K-GMP_3F_DS-3515(DS Gowning (W)),2084,G2
523-27-1-2,523-27 P5_MS동_보안동 방향 S/G #1 출문,2076,T3
523-15-1-1,523-15 P5_DS동_Main 로비 S/G #2 입문,2071,N1
205-14-1-1,205-14 P4_GMP_2F_AD-2971(MBR Review Room),2067,G1
024-66-1-1,024-66 P2_K-GMP_2F_DP-2306(DP Entrace (M)),1968,G1
106-10-1-1,106-10 P4_GMP_1F_SB-1181(Material A/L),1958,G1
700-61-1-1,700-61_P4 바이오파크 방향 S/G #3 입문,1954,T2
515-3-1-1,515-03 P5_GMP_1F_DS-1210A(M. A/L),1950,G1
306-1-1-1,306-01 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_B,1949,G1
307-6-1-1,307-6 P4 3MF층 P4-AD-3M972,1947,G1
505-6-1-1,505-06 P4_GMP_5F_AD-5971(P4 QA Archive Room),1931,G1
523-14-1-1,523-14 P5_DS동_Main 로비 S/G #1 입문,1930,N1
700-82-1-1,700-82_P3 UT 정문 S/G #2-입문,1926,T2
406-3-1-1,406-03 P4_GMP_4F_QC-4311(Chromatography Test Room),1916,G1
406-2-1-1,406-02 P4_GMP_4F_QC-4635(Microbial ID Room),1910,G1
025-57-1-1,025-57 P2_GMP_4F_CM-4601(Material Airlock),1905,G1
406-11-1-1,406-11 P4_GMP_4F_QC-4636(Incubator Room),1887,G1
014-57-1-1,014-57 P1_GMP_2F_W1-2131(Storage Room-1),1884,G1
700-89-2-2,700-89_P4 P3 방향-1 S/G #1 출문,1881,T3
43-4-1-1,043-04 RD_GMP_2F_RD-2201(Gown : DSP PD Lab),1879,G1
603-2-1-1,603-02 BP1_3F 경영진단팀 사무실 (입문),1872,T2
401-4-1-1,401-04 P4_GMP_4F_QC-4229(Sample control room),1854,G1
033-54-1-1,033-54 P3_생산동_4층_QC-4313(QC 사무실[북측]),1851,G1
523-17-1-2,523-17 P5_DS동_Main 로비 S/G #4 출문,1841,N1
033-11-1-1,033-11 P3_생산동_4층_AD-4322(T/F 사무실-1),1800,G1
700-81-1-1,700-81_P3 UT 정문 S/G #1-입문,1783,T2
523-27-1-1,523-27 P5_MS동_보안동 방향 S/G #1 입문,1777,T2
103-3-1-1,103-03 P4_GMP_1F_SB-1183(DS4B Entrance(M)),1760,T2
023-99-1-1,023-99 P2_K-GMP_5F_DS-5301(Entrance (M)),1747,T2
32-59-1-1,032-59 P3_GMP_3MF_DS-C920(MBR Review Room),1731,G1
700-14-2-2,700-14_개발동 후문 S/G #2-출문,1689,T3
513-1-1-1,513-01 P5_GMP_1F_DS-1205B(ENT.(W)),1653,G1
407-5-1-1,407-05 P4_GMP_4F_QC-4124(Corridor),1651,T1
511-3-1-1,511-03 P5_GMP_1F_DS-1205A(ENT.(M)),1645,G1
700-14-1-1,700-14_개발동 후문 S/G #2-입문,1642,T2
011-82-1-1,011-82 P1 3F Q1-3151 (연구소 내부 기준 우측 출입문),1618,T2
203-1-1-1,203-01 P4_2층_P4-AD-2111(홀),1603,T1
523-23-1-1,523-23 P5_MS동_Main 로비 S/G #1 입문,1586,N1
513-52-1-1,513-52 P5_GMP_3F_DS-3125A(Locker ENT.(W)),1558,G2
52-62-1-1,52-62 ADC_GMP_3F_PD-3101(Gowning A/L-1),1553,G2
700-43-1-1,700-43_P2 도크장 방향 S/G #1 입문,1541,T2
700-81-2-2,700-81_P3 UT 정문 S/G #1-출문,1530,T2
406-9-1-1,406-09 P4_GMP_4F_QC-4516(Bioassay Support Room),1519,G1
013-2-1-1,013-02 P1_GMP_5F_DP-5211(Corridor),1509,T1
401-7-1-1,401-07 P4_GMP_4F_QC-4715(Corridor),1504,T1
203-2-1-1,203-02 P4_2층_P4-AD-2312(사무실-2),1499,G1
303-2-1-1,303-02 P4_3층_P4-AD-3312(사무실-2),1498,G1
700-60-1-1,700-60_P4 바이오파크 방향 S/G #2 입문,1488,T2
103-2-1-1,103-02 P4_1층_P4-AD-1313(사무실-2B),1476,G1
033-16-1-1,033-16 P3_생산동_4층_AD-4359(사무실[북측]),1465,G1
033-30-1-1,033-30 P3_생산동_4층_QC-4405(환경모니터교대사무실),1444,G1
033-28-1-1,033-28 P3_생산동_4층_AD-4401(사무실[서측]),1442,G1
033-38-1-1,033-38 P3_GMP_4F_QC-4172(Corridor ? 2),1440,T1
403-12-1-1,403-12 P4_GMP_4F_AD-4972(Document Req&Pickup Room),1433,G1
700-84-1-1,700-84_P3 UT 비상EV S/G #1 입문,1433,T2
700-84-2-2,700-84_P3 UT 비상EV S/G #1 출문,1425,T3
011-70-1-1,011-70 Q1-1000(QC 사무실),1410,G1
023-38-1-1,023-38 P2_GMP_1F_DS-1273(Material Vestibule (PP)),1410,G1
302-5-1-1,302-05 P4_GMP_3F_SB-3186(DS4B Entrance(W)),1395,T2
34-50-1-1,034-50 P3_GMP_4F_QC-4315(MEETING ROOM-1),1391,G3
523-18-1-1,523-18 P5_MS동_WWT 방향 S/G #1 입문,1378,T2
600-20-1-1,600-20 BP2_3층_P4-A2-3109(메디컬존 P1방향 입문),1352,N2
033-41-1-1,033-41 P3_GMP_4F_QC-4213(Bioassay Supply Room),1346,G1
700-54-2-2,700-54_P3 P4방향 S/G #1	출문,1341,T3
511-49-1-1,511-49 P5_GMP_3F_DS-3124A(Locker ENT.(M)),1340,G2
200-2-1-1,200-02 P2_GMP_5F_PD-5111(Purification Process),1333,G1
013-19-1-1,013-19 P1_K-GMP_7F_DP-7107(DP Gowning (M)),1326,G2
024-62-1-1,024-62 P2_GMP_2F_DP-2679(Material Buffer),1315,G1
035-68-1-1,035-68 P3_3F_ UT BST 사무실입구,1314,T2
200-5-1-1,200-05 P2_5층_MSAT 사무실 출입구,1312,T2
600-20-1-2,600-20 BP2_3층_P4-A2-3109(메디컬존 P1방향 출문),1300,N2
516-45-1-1,516-45 P5_MS동_3층_MS-3397(CCR),1298,G1
701-32-1-1,701-32 BP2_5층 University Sub S/G #2 입문,1298,G4
011-93-1-1,011-93 P1_4F_ Mass Room,1282,G1
013-6-1-1,013-06 P1_GMP_8F_DP-8214(Inspection and Packaging),1273,G1
013-16-1-1,013-16 P1_GMP_7F_DP-7214(Packing Room),1254,G1
700-61-2-2,700-61_P4 바이오파크 방향 S/G #3 출문,1239,T3
024-51-1-1,024-51 P2_K-GMP_2F_DP-2213(B Grade Gown (In)),1225,G1
700-7-2-2,700-07_P3-BP1 브릿지 S/G #3-출문,1225,T1
024-59-1-1,024-59 P2_K-GMP_2F_DP-2215(B Grade Degown (Out)),1218,G1
516-21-1-1,516-21 P5_MS동_1층_MS-1382(방재센터),1214,G1
302-4-1-1,302-04 P4_GMP_3F_SB-3181(DS4B Entrance(M)),1207,T2
024-53-1-1,024-53 P2_GMP_2F_DP-2114(Inspection and Packaging),1199,G1
502-6-1-1,502-06 P4_5층_P4-WH-5311(사무실),1176,G1
523-18-1-2,523-18 P5_MS동_WWT 방향 S/G #1 출문,1168,T3
31-20-1-1,031-20 P3_GMP_2F_DS-2511(Clean Utilities Room(CC)),1163,G1
523-3-1-1,523-03 P5_DS동_Sub 로비 S/G #2 입문,1159,N1
307-5-1-1,307-5 P4 3MF층 P4-AD-3M971,1148,G1
307-2-1-1,307-02 P4_MEZZ. 3층_P4-AD-3M111(홀),1146,T1
023-97-1-1,023-97 P2_DS동_1층_DS-1716 (Recruiting T/F),1138,G1
033-12-1-1,033-12 P3_생산동_4층_AD-4323(T/F 사무실-2),1133,G1
603-2-1-2,603-02 BP1_3F 경영진단팀 사무실 (출문),1119,T3
30-33-1-1,030-33 P3_GMP_1F_DS-1285(Dispensed Material Stag.),1117,G1
29-11-1-1,029-11 P3_GMP_1F_DS-1324(Tech Core Vestibule (PP)),1109,G1
012-38-1-1,012-38 P1_GMP_3F_DS-3502(Vestibule),1104,G1
035-11-1-1,035-11 P3_유틸리티동_1층_UT-1017(락커룸),1103,G2
523-25-1-2,523-25 P5_MS동_Main 로비 S/G #3 출문,1098,N1
025-55-1-1,025-55 P2_K-GMP_4F_CM-4301(CMP ENTRANCE(M)),1082,T2
31-52-1-1,031-52 P3_K-GMP_2F_WH-2114(Warehouse),1071,G1
43-38-1-1,043-38 개발동 3층 실험실 입구,1071,T2
103-6-1-1,103-06 P4_GMP_1F_SB-1190(DS4B Entrance(W)),1057,T2
43-41-1-1,043-41 개발동 1층 1F RD-1255,1043,G1
202-6-1-1,202-06 P4_P3_K-GMP_2F_WH-2114(Warehouse),1041,G1
104-1-1-1,104-01 P4_1층_P4-AD-1112(홀),1024,T1
033-58-1-1,033-58 P3_GMP_4F_QC-4175(Corridor ? 5),1020,T1
092-1-1-1,092-01 P1_WH동_ 3F_교육실 입구,1007,G4
003-3-2-2,003-03 P3_생산동_정문 SPEED GATE-3 출문,1003,T2
013-17-1-1,013-17 P1_GMP_7F_DP-7210(DP Material Airlock),991,G1
700-56-1-1,700-56_P3 UT방향 S/G #1 입문,990,T2
306-2-1-1,306-02 P4_MEZZ. 3층_P4-AD-3M312(사무실-2)_A,976,G1
43-13-1-1,043-13 RD_GMP_2F_RD-2401(Cell Bank Room),975,G1
024-67-1-1,024-67 P2_K-GMP_2F_DP-2307(DP Entrace (W)),962,G1
32-11-1-1,032-11 P3_GMP_3F_DS-3216(Technical Core (CC)),961,G1
701-29-1-1,701-29 BP2_5층 University Main S/G #4 입문,960,G4
43-49-1-1,043-49 개발동 1층 RD-1132a (복도-3),958,T1
700-89-1-1,700-89_P4 P3 방향-1 S/G #1 입문,957,T2
523-23-1-2,523-23 P5_MS동_Main 로비 S/G #1 출문,944,N1
402-9-1-1,402-09 P4_4층_P4-AD-4999(UM STAGING-2),942,G1
407-4-1-1,407-04 P4_GMP_4F_QC-4115(Glassware Washer Room),939,G1
025-14-1-1,025-14 P2_K-GMP_5F_CM-5302(CMP Entrance (M)),938,T2
516-61-1-1,516-61 P5_MS동_3층_MS-3398(사무실-3),937,G1
50-3-1-1,50-03 ADC_1F_MF-1601(방재실),930,G1
503-1-1-1,503-01 P4_5층_P4-AD-5312(사무실-2)_A,925,G1
700-56-2-2,700-56_P3 UT방향 S/G #1 출문,921,T3
700-32-1-1,700-32_P2 메인로비 S/G #2 입문,920,N1
033-55-1-1,033-55 P3_GMP_4F_QC-4228(EM Reception Room),919,G1
701-29-1-2,701-29 BP2_5층 University Main S/G #4 출문,908,G4
407-6-1-1,407-06 P4_GMP_4F_QC-4518(PCR Test Room),903,G1
023-49-1-1,023-49-01-01 P2_DS동_2층_DS-2510(공조기실),901,G1
523-2-1-1,523-02 P5_DS동_Sub 로비 S/G #1 입문,898,N1
023-73-1-1,023-73 P2_GMP_4F_DS-4276(Material Vestibule (PP)),896,G1
023-69-1-1,023-69 P2_GMP_4F_DS-4209(IBC Storage (PP)),894,G1
523-2-1-2,523-02 P5_DS동_Sub 로비 S/G #1 출문,892,N1
200-1-1-1,200-01 P2_GMP_5F_PD-5120(Analytical Lab),880,G1
012-77-1-1,012-77 DS-2510B(PIP사무실2) #127,879,G1
023-10-1-1,023-10 P2_DS동_1층_DS-1701(Spare Part)[동측],879,G1
